"Iteration" "Assoc_Stat" "P-val"
"5" 5 "SLT" 0.0678987101143788
"6" 6 "SLT" 0.000903107062131181
"13" 13 "SLT" 0.591798413633111
"14" 14 "SLT" 0.00287132949590932
"15" 15 "SLT" 0.0975754816957142
"16" 16 "SLT" 0.760032163732683
"18" 18 "SLT" 0.119856283723708
"19" 19 "SLT" 0.169083075592448
"22" 22 "SLT" 0.0206105097046304
"24" 24 "SLT" 0.72943877568601
"27" 27 "SLT" 0.000381761463602304
"29" 29 "SLT" 0.0189350214029415
"31" 31 "SLT" 0.255937549992515
"37" 37 "SLT" 0.00358372669710875
"41" 41 "SLT" 0.00224030274931901
"44" 44 "SLT" 2.92899543207498e-06
"46" 46 "SLT" 0.00028026996759392
"48" 48 "SLT" 0.179569928943473
"49" 49 "SLT" 0.00246026392190137
"51" 51 "SLT" 0.0420245218457913
"54" 54 "SLT" 0.0560653330357521
"56" 56 "SLT" 1.6282896426865
"59" 59 "SLT" 0.00401545445178756
"62" 62 "SLT" 0.000179460399488329
"64" 64 "SLT" 0.000151360290888016
"66" 66 "SLT" 0.375573066969172
"67" 67 "SLT" 0.98737417595749
"72" 72 "SLT" 0.00937471972523726
"75" 75 "SLT" 0.0144445668845276
"76" 76 "SLT" 0.145106337299294
"78" 78 "SLT" 0.135767057616481
"80" 80 "SLT" 0.000638866410369051
"82" 82 "SLT" 0.00745913357032932
"91" 91 "SLT" 1.44604733911748
"93" 93 "SLT" 0.000879253734844052
"94" 94 "SLT" 0.763821434219335
"95" 95 "SLT" 0.0399263546878665
"96" 96 "SLT" 0.138200698539861
"97" 97 "SLT" 7.88185875034785e-05
"104" 104 "SLT" 0.0209040902460432
"106" 106 "SLT" 0.0215789320511256
"107" 107 "SLT" 0.0010341814674193
"108" 108 "SLT" 1.38221121757527
"110" 110 "SLT" 0.00328144229993416
"113" 113 "SLT" 0.00204880891281546
"116" 116 "SLT" 0.0209954068652206
"117" 117 "SLT" 0.137931392187167
"118" 118 "SLT" 0.000181730717256511
"124" 124 "SLT" 0.0705670655151441
"125" 125 "SLT" 0.00133866335164756
"127" 127 "SLT" 0.0145558458235809
"128" 128 "SLT" 0.00267634812179374
"129" 129 "SLT" 0.321403851294117
"131" 131 "SLT" 0.000910775063723313
"133" 133 "SLT" 0.00869014217539648
"137" 137 "SLT" 0.106372492764421
"142" 142 "SLT" 0.171089667412127
"143" 143 "SLT" 0.00291518191601742
"145" 145 "SLT" 0.471225638375584
"151" 151 "SLT" 0.00233181344823556
"154" 154 "SLT" 0.394999955265897
"155" 155 "SLT" 0.00446009849819446
"156" 156 "SLT" 0.504415911308516
"160" 160 "SLT" 0.175683131000387
"163" 163 "SLT" 0.108710759985008
"165" 165 "SLT" 0.0191687167515859
"167" 167 "SLT" 1.30180154704569e-05
"168" 168 "SLT" 0.0062237812312876
"172" 172 "SLT" 0.000961853596722225
"178" 178 "SLT" 3.10705388526615e-05
"179" 179 "SLT" 0.000631865930079221
"180" 180 "SLT" 0.000626233833864049
"182" 182 "SLT" 0.135951986318353
"184" 184 "SLT" 0.0142981269954382
"186" 186 "SLT" 0.017798771216821
"192" 192 "SLT" 0.0598170740980025
"193" 193 "SLT" 0.0500225969179554
"196" 196 "SLT" 0.0134552586735103
"197" 197 "SLT" 0.00111805986005944
"198" 198 "SLT" 0.00336257579938767
"199" 199 "SLT" 0.000159874864669114
"203" 203 "SLT" 0.00156152894646884
"204" 204 "SLT" 0.006237239994354
"210" 210 "SLT" 3.91608371364169
"218" 218 "SLT" 1.06084744758746
"223" 223 "SLT" 0.018514610218779
"228" 228 "SLT" 6.88258511622028e-05
