"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"5" 5 "SKAT" 0.464913939449597 0.464913939449597 0.464913939449596 1 0.995801676281768 0.712924694042481 0.434543293464498 0.434543293464496 0.324209834116956 0.4345432934645 0.0014734482570844 0.854576338504607 0.854576338504607 0.247415403390303 0.256894337275904 0.256894337275904
"6" 6 "SKAT" 0.00585448617945916 0.00585448617945916 0.00585448617945938 0.0703410862037521 0.96305767043538 0.999807273274264 0.0130818929038921 0.0130818929038921 0.0217015089584998 0.0130818929038922 0.000261729682675016 0.00802257009423402 0.00802257009423379 0.0492065567666149 0.0362127898985348 0.0362127898985347
"13" 13 "SKAT" 0.441936753596582 0.441936753596582 0.441936753596583 1 0.981929795615988 1 0.306724639119791 0.306724639119793 0.315607379789678 0.306724639119792 0.021538081197534 0.861798678430065 0.861798678430064 0.716528218417833 0.706111190114418 0.706111190114419
"14" 14 "SKAT" 0.689777993028593 0.689777993028593 0.689777993028594 1 1 1 0.73945940642676 0.739459406426764 0.864775340198714 0.73945940642676 0.0364529537527163 0.533241199630181 0.53324119963018 0.36528916100112 0.358363508577316 0.358363508577316
"15" 15 "SKAT" 0.096615913371016 0.096615913371016 0.0966159133710158 1 1 1 0.209926229520658 0.209926229520658 0.419489646349478 0.209926229520659 0.0016928599327013 0.166610396259938 0.166610396259938 0.170462731147312 0.16983614684891 0.169836146848912
"16" 16 "SKAT" 0.0930502626741425 0.0930502626741425 0.093050262674142 0.931722342139665 1 0.73896676933049 0.156611159053767 0.156611159053767 0.27777677571735 0.156611159053765 0.193505880183822 0.214823442400039 0.214823442400039 0.0833353673438384 0.0834611735837357 0.0834611735837349
"18" 18 "SKAT" 0.133511368990699 0.133511368990699 0.133511368990699 1 0.999988429171076 1 0.202720585581127 0.202720585581126 0.304078229183969 0.202720585581127 0.00344899913518382 0.00330630797869569 0.00330630797869591 0.198027286197393 0.206915960331864 0.206915960331864
"19" 19 "SKAT" 0.578472058994747 0.578472058994747 0.578472058994746 1 1 1 0.655814057068044 0.655814057068043 0.678258924996719 0.655814057068047 0.000796719418027836 0.900852554531895 0.900852554531894 0.363698098505764 0.320430976455655 0.320430976455656
"22" 22 "SKAT" 0.399940014620624 0.399940014620624 0.399940014620624 1 1 0.996269520477062 0.384109446612008 0.384109446612006 0.406750641554126 0.384109446612009 0.172671796977732 0.278340968442959 0.278340968442959 0.289659477150243 0.241250465349157 0.241250465349158
"24" 24 "SKAT" 0.0172274066666326 0.0172274066666326 0.0172274066666324 1 1 1 0.0424161305149141 0.042416130514914 0.12485664804451 0.0424161305149144 0.00012321839312901 0.0383442309381006 0.038344230938101 0.0323116012578921 0.0304721544215842 0.0304721544215845
"27" 27 "SKAT" 0.00171995579254558 0.00171995579254558 0.00171995579254569 0.928146559874395 1 1 0.00110889589428653 0.00110889589428664 0.00120758210405691 0.00110889589428664 0.000809243339126242 0.00918504324579628 0.00918504324579672 0.0189342698723467 0.0163324684217996 0.0163324684217991
"29" 29 "SKAT" 0.148760036156104 0.148760036156104 0.148760036156104 1 0.999410186922635 1 0.180869738454954 0.180869738454954 0.270631020310457 0.180869738454953 0.0044522185818725 0.380845498436481 0.380845498436481 0.192405305436622 0.201543139228824 0.201543139228824
"35" 5 "GTSR" 0.884 0.884 0.758 0.814 0.898 0.904 0.91 0.8 0.95 0.924 0.014 0.534 0.534 0.354 0.414 0.414
"36" 6 "GTSR" 0.002 0.002 0 0.846 0.786 0.794 0.006 0.044 0.112 0.012 0 0 0 0.002 0.002 0.002
"43" 13 "GTSR" 0.918 0.918 0.858 0.926 0.926 0.924 0.954 0.968 0.932 0.898 0.03 0.462 0.462 0.364 0.39 0.39
"44" 14 "GTSR" 0.662 0.662 0.772 0.924 0.862 0.868 0.742 0.95 0.902 0.658 0.1 0.758 0.758 0.646 0.608 0.608
"45" 15 "GTSR" 0.202 0.202 0.196 0.92 0.838 0.826 0.428 0.52 0.764 0.51 0.002 0.49 0.49 0.144 0.13 0.13
"46" 16 "GTSR" 0.304 0.304 0.352 0.888 0.922 0.9 0.56 0.936 0.968 0.566 0.074 0.65 0.65 0.028 0.034 0.034
"48" 18 "GTSR" 0.408 0.408 0.482 0.862 0.928 0.936 0.702 0.882 0.96 0.594 0 0 0 0.238 0.242 0.242
