"Iteration" "Assoc_Stat" "P-val"
"5" 5 "SLT" 0.170170303369218
"6" 6 "SLT" 0.00621866416007952
"13" 13 "SLT" 0.09197270263746
"14" 14 "SLT" 0.277019322032929
"15" 15 "SLT" 0.000702374698493763
"16" 16 "SLT" 0.111174855819534
"18" 18 "SLT" 0.0496900991717646
"19" 19 "SLT" 0.0395829557844925
"22" 22 "SLT" 0.271802835445703
"24" 24 "SLT" 0.0134624683676925
"27" 27 "SLT" 0.0343615708154717
"29" 29 "SLT" 0.120052214316246
"31" 31 "SLT" 0.00120833894209603
"37" 37 "SLT" 0.351901522900417
"41" 41 "SLT" 0.0272975699925211
"44" 44 "SLT" 0.0556940161423717
"46" 46 "SLT" 0.106901987551663
"48" 48 "SLT" 8.03642151162757e-06
"49" 49 "SLT" 3.63739803062698e-05
"51" 51 "SLT" 0.18177386581277
"54" 54 "SLT" 0.0639288602835971
"56" 56 "SLT" 4.91466571670996e-06
"59" 59 "SLT" 0.564185741857987
"62" 62 "SLT" 2.09870812179918e-05
"64" 64 "SLT" 0.0135385234270145
"66" 66 "SLT" 0.134636184669543
"67" 67 "SLT" 0.00520128661021233
"72" 72 "SLT" 0.240698292842746
"75" 75 "SLT" 6.30469572548807e-06
"76" 76 "SLT" 0.154229735135013
"78" 78 "SLT" 0.00069890649347862
"80" 80 "SLT" 0.0121020625374967
"82" 82 "SLT" 1.31526498190922e-05
"91" 91 "SLT" 0.0146933809956367
"93" 93 "SLT" 3.05089932256117e-07
"94" 94 "SLT" 0.000382784384727987
"95" 95 "SLT" 6.10166057050406e-06
"96" 96 "SLT" 0.0382131220350297
"97" 97 "SLT" 0.0159193305787526
"104" 104 "SLT" 0.00368674196350188
"106" 106 "SLT" 0.000105483461468391
"107" 107 "SLT" 0.0313226225881833
"108" 108 "SLT" 0.0124069677693128
"110" 110 "SLT" 0.00307795582931022
"113" 113 "SLT" 0.101980251855788
"116" 116 "SLT" 0.0689311832372251
"117" 117 "SLT" 0.141999679584886
"118" 118 "SLT" 0.498460312756302
"124" 124 "SLT" 0.0124361044068913
"125" 125 "SLT" 0.0180215291067228
"127" 127 "SLT" 0.172228363830869
"128" 128 "SLT" 0.0043868770632449
"129" 129 "SLT" 0.0182344624275095
"131" 131 "SLT" 2.9306899186523e-06
"133" 133 "SLT" 0.0255335667955442
"137" 137 "SLT" 0.0339837450691946
"142" 142 "SLT" 0.28213529570101
"143" 143 "SLT" 0.0199831701552436
"145" 145 "SLT" 0.357811742898297
"151" 151 "SLT" 0.0140549686201769
"154" 154 "SLT" 0.162243091304463
"155" 155 "SLT" 2.95523075626842e-05
"156" 156 "SLT" 0.00250512495804198
"160" 160 "SLT" 0.00217583275493122
"163" 163 "SLT" 0.0188543896735228
"165" 165 "SLT" 0.0164911903408721
"167" 167 "SLT" 0.00626830121724409
"168" 168 "SLT" 0.00690761865843047
"172" 172 "SLT" 1.83435717035842e-05
"178" 178 "SLT" 0.152396385377402
"179" 179 "SLT" 0.203219962469913
"180" 180 "SLT" 0.230140462165627
"182" 182 "SLT" 0.336013083559073
"184" 184 "SLT" 0.000313254470087708
"186" 186 "SLT" 0.135364962811334
"192" 192 "SLT" 0.0544404022020662
"193" 193 "SLT" 0.0190301905615505
"196" 196 "SLT" 0.0012808589238625
"197" 197 "SLT" 0.00108318319885421
"198" 198 "SLT" 0.000521226571690519
"199" 199 "SLT" 0.0250679710272217
"203" 203 "SLT" 6.21974825683831e-05
"204" 204 "SLT" 0.0460683374105056
"210" 210 "SLT" 0.171927471869179
"218" 218 "SLT" 0.0364533591707843
"223" 223 "SLT" 0.00220539316386145
"228" 228 "SLT" 0.0399355920679436
"232" 232 "SLT" 0.0533349947187114
"234" 234 "SLT" 0.024897521678438
"235" 235 "SLT" 0.000238509321672475
"238" 238 "SLT" 0.675393816196943
"243" 243 "SLT" 0.118010260771586
"244" 244 "SLT" 0.0188147075541431
"246" 246 "SLT" 0.00468403267118778
"247" 247 "SLT" 0.0128116605147444
"249" 249 "SLT" 0.0478467052451592
"250" 250 "SLT" 0.0176058432100861
"251" 251 "SLT" 9.80733100746592e-05
"253" 253 "SLT" 0.0273735708370187
"255" 255 "SLT" 0.0389627148551379
"256" 256 "SLT" 0.132725729935804
"258" 258 "SLT" 0.000102917874547509
"259" 259 "SLT" 0.00255228264893011
"262" 262 "SLT" 0.0183901868690768
"264" 264 "SLT" 0.17486892201678
"266" 266 "SLT" 0.0099257029758779
"269" 269 "SLT" 0.0137404832042414
"273" 273 "SLT" 0.0238475890464578
"276" 276 "SLT" 0.00792844025373511
"281" 281 "SLT" 0.572284691019198
"284" 284 "SLT" 0.000378918608962764
"286" 286 "SLT" 0.289937679714357
"287" 287 "SLT" 0.00953870202554534
"288" 288 "SLT" 0.0622506584379008
"291" 291 "SLT" 0.0382542516477776
"293" 293 "SLT" 1.02616642668353e-05
"294" 294 "SLT" 0.00160971814785362
"295" 295 "SLT" 0.125824817006448
"296" 296 "SLT" 0.00449691358658949
"298" 298 "SLT" 0.0626733763427482
"303" 303 "SLT" 0.129528750239803
"304" 304 "SLT" 0.00431407992460125
"305" 305 "SLT" 0.15304936649609
"307" 307 "SLT" 4.90146894899515e-09
"309" 309 "SLT" 0.0947375679793862
"311" 311 "SLT" 0.042995024410219
"312" 312 "SLT" 0.295660511805076
"314" 314 "SLT" 0.0851927949598573
"316" 316 "SLT" 0.164866361350154
"317" 317 "SLT" 0.00365024598792939
"321" 321 "SLT" 0.0018084415600145
"322" 322 "SLT" 0.00954399437650674
"327" 327 "SLT" 0.00725124363044225
"329" 329 "SLT" 0.027507833037809
"330" 330 "SLT" 0.280796245900552
"333" 333 "SLT" 0.0433959694011668
"334" 334 "SLT" 1.179058079183e-05
"335" 335 "SLT" 0.284756557532012
"340" 340 "SLT" 0.00213404077004566
"342" 342 "SLT" 0.0528846661009785
"349" 349 "SLT" 0.00802259568120306
"350" 350 "SLT" 0.0505962051197956
"355" 355 "SLT" 1.23183228714883e-05
"356" 356 "SLT" 0.0330413372613718
"358" 358 "SLT" 0.0204981292185365
"360" 360 "SLT" 0.000445652900232016
"364" 364 "SLT" 0.103155324144884
"365" 365 "SLT" 0.00388802980163704
"369" 369 "SLT" 0.296082128040544
"379" 379 "SLT" 0.269351049060218
"381" 381 "SLT" 0.0109214777388552
"384" 384 "SLT" 0.191531473077149
"385" 385 "SLT" 0.00696960774389546
"390" 390 "SLT" 7.54759553945209e-06
"392" 392 "SLT" 0.231607755947634
"398" 398 "SLT" 0.157745340613146
"399" 399 "SLT" 0.278506836205217
"401" 401 "SLT" 0.00182603077730972
"403" 403 "SLT" 0.00969206077554169
"405" 405 "SLT" 0.196639132835344
"406" 406 "SLT" 0.366952399253745
"409" 409 "SLT" 0.00154955673285118
"412" 412 "SLT" 0.278458324381844
"414" 414 "SLT" 0.166159793971925
"415" 415 "SLT" 0.00781542759311393
"416" 416 "SLT" 0.109937343371185
"421" 421 "SLT" 0.000104595798351108
"426" 426 "SLT" 0.0602247035116874
"429" 429 "SLT" 0.109752815566936
"433" 433 "SLT" 0.00408352880915379
"435" 435 "SLT" 0.000967448829913786
"438" 438 "SLT" 0.321350415061088
"441" 441 "SLT" 0.00295543661295528
"442" 442 "SLT" 0.013759048963979
"446" 446 "SLT" 2.09930546977475e-10
"449" 449 "SLT" 0.140841300049912
"455" 455 "SLT" 0.0286786044784952
"458" 458 "SLT" 3.34188589355234e-05
"459" 459 "SLT" 0.00859915960941434
"466" 466 "SLT" 0.0727478974020048
"470" 470 "SLT" 0.0674222669178916
"471" 471 "SLT" 0.00307594579406976
"472" 472 "SLT" 0.00976493601750565
"473" 473 "SLT" 0.052254901204759
"475" 475 "SLT" 0.0259325235407652
"477" 477 "SLT" 5.77327062066333e-07
"479" 479 "SLT" 0.00755996372402644
"482" 482 "SLT" 0.0227130639009205
"483" 483 "SLT" 0.245482023849633
"484" 484 "SLT" 0.001691269526381
"485" 485 "SLT" 0.00120249035062421
"487" 487 "SLT" 0.0753012755486368
"488" 488 "SLT" 0.0353270270622936
"489" 489 "SLT" 0.000120592243860057
"492" 492 "SLT" 5.95361237360705e-05
"493" 493 "SLT" 0.00638677299240925
"494" 494 "SLT" 0.447838237437126
"498" 498 "SLT" 0.00973084466272841
"501" 501 "SLT" 0.00970692524388217
"502" 502 "SLT" 0.00195303420646109
"508" 508 "SLT" 0.0242098258191241
"511" 511 "SLT" 0.175611357716112
"512" 512 "SLT" 0.00515447445559251
"514" 514 "SLT" 0.000515986292236025
"516" 516 "SLT" 0.00537668679022556
"517" 517 "SLT" 0.156175727381607
"518" 518 "SLT" 0.0232268170733063
"524" 524 "SLT" 0.102808534928267
"528" 528 "SLT" 0.184744457852881
"530" 530 "SLT" 0.00153599739293096
"535" 535 "SLT" 0.092678540015039
"539" 539 "SLT" 0.00525090756347178
"540" 540 "SLT" 0.0429232420255906
"542" 542 "SLT" 0.405529514231076
"543" 543 "SLT" 0.0445066113762947
"544" 544 "SLT" 0.220076316638759
"545" 545 "SLT" 0.503070046583837
"546" 546 "SLT" 0.0027792989277786
"547" 547 "SLT" 0.022767915426948
"548" 548 "SLT" 3.96526979198775e-06
"549" 549 "SLT" 4.77586226674737e-06
"553" 553 "SLT" 0.120139700177509
"560" 560 "SLT" 0.31832619065006
"562" 562 "SLT" 0.035381627351447
"563" 563 "SLT" 0.0398756681998356
"566" 566 "SLT" 0.144915347331043
"567" 567 "SLT" 0.00184193204164398
"571" 571 "SLT" 0.0289662193620827
"572" 572 "SLT" 0.0204423573491441
"574" 574 "SLT" 0.108149337205522
"575" 575 "SLT" 0.0956365185749359
"582" 582 "SLT" 0.0200612304987774
"583" 583 "SLT" 0.390925788574571
"584" 584 "SLT" 0.0199195024718738
"590" 590 "SLT" 0.00084590815948728
"591" 591 "SLT" 0.00389086472482966
"595" 595 "SLT" 0.00700411401084525
"598" 598 "SLT" 0.0202125017780263
"600" 600 "SLT" 0.0177020507357625
"601" 601 "SLT" 0.193751805464056
"608" 608 "SLT" 0.00494396192341513
"611" 611 "SLT" 0.000932489618307861
"613" 613 "SLT" 0.0219379740459688
"622" 622 "SLT" 0.0385474300587728
"639" 639 "SLT" 0.0353141183053665
"643" 643 "SLT" 0.108379442337645
"644" 644 "SLT" 0.00011976714286477
"645" 645 "SLT" 0.122144895375453
"646" 646 "SLT" 0.0128338119488154
"650" 650 "SLT" 0.205519930618294
"652" 652 "SLT" 4.64729959123412e-06
"656" 656 "SLT" 0.00368012468758564
"658" 658 "SLT" 0.00363165764743972
"659" 659 "SLT" 0.403715781213925
"663" 663 "SLT" 0.0920465850107772
"665" 665 "SLT" 0.0412676601157075
"666" 666 "SLT" 0.0089162748163931
"669" 669 "SLT" 0.0761930989528874
"675" 675 "SLT" 0.389031199218269
"676" 676 "SLT" 0.112302285109897
"678" 678 "SLT" 0.642149980666317
"683" 683 "SLT" 0.104075068753208
"684" 684 "SLT" 0.0242207658086123
"685" 685 "SLT" 0.583076611082169
"689" 689 "SLT" 0.00539903933618511
"691" 691 "SLT" 0.0587357105305317
"696" 696 "SLT" 0.476443758382668
"697" 697 "SLT" 0.000260389535456445
"699" 699 "SLT" 0.0149531695667786
"704" 704 "SLT" 0.110778014735082
"705" 705 "SLT" 0.00273389417459533
"706" 706 "SLT" 0.0112888058366861
"712" 712 "SLT" 0.269661982251895
"713" 713 "SLT" 0.108004614244208
"715" 715 "SLT" 0.467449086776945
"716" 716 "SLT" 0.348364801161546
"718" 718 "SLT" 0.399324502996
"720" 720 "SLT" 0.0206128722032993
"721" 721 "SLT" 0.277053124936111
"730" 730 "SLT" 2.0121477281359e-06
"734" 734 "SLT" 0.00247047264291828
"736" 736 "SLT" 0.155622239576459
"738" 738 "SLT" 0.0272766169116587
"740" 740 "SLT" 0.0300335449031101
"742" 742 "SLT" 0.00420552511129947
"743" 743 "SLT" 0.00903579342435652
"744" 744 "SLT" 0.0215623727515893
"745" 745 "SLT" 0.00537610648633849
"747" 747 "SLT" 0.0274996501604264
"749" 749 "SLT" 0.176605605398532
"750" 750 "SLT" 0.146986322096568
"751" 751 "SLT" 0.319972724715846
"752" 752 "SLT" 0.0471751154600893
"758" 758 "SLT" 0.0873537104430536
"764" 764 "SLT" 0.0150010330754677
"766" 766 "SLT" 0.0412783298765955
"768" 768 "SLT" 0.0083840064805489
"772" 772 "SLT" 0.0071653548664719
"773" 773 "SLT" 0.00474784362362907
"774" 774 "SLT" 0.194538456563197
"775" 775 "SLT" 8.58654766584388e-05
"781" 781 "SLT" 0.0198236461712537
"782" 782 "SLT" 0.000180896651501185
"787" 787 "SLT" 0.0467126575905739
"788" 788 "SLT" 0.0606483195752369
"789" 789 "SLT" 0.0143077851934388
"791" 791 "SLT" 0.00596696647299814
"793" 793 "SLT" 0.0125285013048055
"799" 799 "SLT" 0.0301964147333132
"805" 805 "SLT" 0.30312085928123
"809" 809 "SLT" 0.00166232835718377
"819" 819 "SLT" 0.0841523687777546
"823" 823 "SLT" 0.041130676330488
"836" 836 "SLT" 0.0306628573094192
"841" 841 "SLT" 0.0853502139102793
"846" 846 "SLT" 0.129909177830992
"848" 848 "SLT" 0.443862756792916
"851" 851 "SLT" 0.0170107498636855
"854" 854 "SLT" 0.0044808878739583
"859" 859 "SLT" 0.00613166183536181
"861" 861 "SLT" 0.0263686363881891
"865" 865 "SLT" 0.00786052100978609
"867" 867 "SLT" 6.57447532256347e-05
"869" 869 "SLT" 0.0103141464763124
"872" 872 "SLT" 0.000334702213226903
"880" 880 "SLT" 0.000512669215507382
"883" 883 "SLT" 0.0443613215702553
"887" 887 "SLT" 9.78765791784576e-05
"888" 888 "SLT" 0.0273320242232499
"890" 890 "SLT" 0.778132544855167
"891" 891 "SLT" 0.032995643070667
"902" 902 "SLT" 0.00260047933980867
"906" 906 "SLT" 0.0764469418293658
"907" 907 "SLT" 0.0143933441600792
"914" 914 "SLT" 0.019441618848231
"920" 920 "SLT" 0.00481312117726289
"922" 922 "SLT" 1.2472443130504e-06
"925" 925 "SLT" 0.000372481956159384
"928" 928 "SLT" 0.237808496408326
"929" 929 "SLT" 0.00151574591327704
"932" 932 "SLT" 0.00158385956822272
"936" 936 "SLT" 0.104895258390729
"939" 939 "SLT" 0.0302708206721381
"940" 940 "SLT" 0.000335283270273725
"941" 941 "SLT" 0.197394670090894
"942" 942 "SLT" 0.00221273925354025
"943" 943 "SLT" 7.76509589875772e-05
"944" 944 "SLT" 0.00215846504653414
"952" 952 "SLT" 0.0834173136824663
"955" 955 "SLT" 0.0253503219014726
"957" 957 "SLT" 0.056399458299422
"958" 958 "SLT" 0.00112585388233396
"962" 962 "SLT" 0.180089106043543
"964" 964 "SLT" 0.001415304822951
"967" 967 "SLT" 0.0124861735147232
"968" 968 "SLT" 0.0636659822635517
"970" 970 "SLT" 0.036678356268311
"972" 972 "SLT" 0.0374127811288357
"975" 975 "SLT" 3.71973052586503e-07
"977" 977 "SLT" 0.0525386950521364
"978" 978 "SLT" 0.00420628577363148
"981" 981 "SLT" 0.00838659743440021
"987" 987 "SLT" 0.0113799138793231
"989" 989 "SLT" 0.0111929361471722
"990" 990 "SLT" 0.00943152898411166
"995" 995 "SLT" 0.0179851694807727
"997" 997 "SLT" 0.0399165636250708
"999" 999 "SLT" 0.000240353269725139
"1002" 1002 "SLT" 0.0379945609488168
"1004" 1004 "SLT" 0.0374051399118409
"1006" 1006 "SLT" 0.0105227943943481
"1012" 1012 "SLT" 0.189997024218564
"1014" 1014 "SLT" 0.133327875310913
"1016" 1016 "SLT" 0.238691103600646
"1017" 1017 "SLT" 0.000351680472134703
"1018" 1018 "SLT" 0.648347537062197
"1019" 1019 "SLT" 0.0894742031820037
"1023" 1023 "SLT" 0.112083282870754
"1025" 1025 "SLT" 0.00306408985211693
"1033" 1033 "SLT" 0.0126837640525657
"1035" 1035 "SLT" 0.550975267035012
"1038" 1038 "SLT" 0.0162457448226773
"1044" 1044 "SLT" 0.00337648676906704
"1045" 1045 "SLT" 0.000249032212512111
"1046" 1046 "SLT" 0.000787017183668634
"1048" 1048 "SLT" 0.754299536993374
"1052" 1052 "SLT" 0.317893721803562
"1054" 1054 "SLT" 0.209052961260331
"1055" 1055 "SLT" 0.0605119406345299
"1056" 1056 "SLT" 0.00655514374057405
"1057" 1057 "SLT" 0.0507805717750793
"1063" 1063 "SLT" 0.000920384722696557
"1070" 1070 "SLT" 0.621024752044228
"1076" 1076 "SLT" 0.383728818380198
"1079" 1079 "SLT" 0.0088055066832916
"1082" 1082 "SLT" 0.00186759987606233
"1084" 1084 "SLT" 0.000132893540806099
"1085" 1085 "SLT" 0.0728007163055284
"1092" 1092 "SLT" 0.000838410458612897
"1094" 1094 "SLT" 0.0219668475506896
"1100" 1100 "SLT" 0.0172006260644947
"1102" 1102 "SLT" 0.017450364162858
"1103" 1103 "SLT" 0.0794453282508786
"1104" 1104 "SLT" 0.0195001971355773
"1106" 1106 "SLT" 0.754005814147307
"1107" 1107 "SLT" 0.0161058772099323
"1108" 1108 "SLT" 0.282330988811497
"1112" 1112 "SLT" 0.15388579703223
"1114" 1114 "SLT" 0.493887040442281
"1120" 1120 "SLT" 0.0217869055383711
"1121" 1121 "SLT" 0.604571002513619
"1122" 1122 "SLT" 0.000128607992367652
"1123" 1123 "SLT" 0.127964226645938
"1125" 1125 "SLT" 1.63380540179763
"1126" 1126 "SLT" 0.0102331518446791
"1128" 1128 "SLT" 0.00569757614440598
"1129" 1129 "SLT" 0.473035747833397
"1130" 1130 "SLT" 0.0685525116909036
"1134" 1134 "SLT" 0.00207391393217285
"1135" 1135 "SLT" 0.00038861747361969
"1136" 1136 "SLT" 0.00133537568822303
"1137" 1137 "SLT" 0.00218819301737629
"1140" 1140 "SLT" 0.0646056360182886
"1142" 1142 "SLT" 0.0856986922247948
"1144" 1144 "SLT" 0.0224459439227777
"1148" 1148 "SLT" 0.159300742680048
"1149" 1149 "SLT" 0.0071950307749626
"1150" 1150 "SLT" 0.116350254659616
"1152" 1152 "SLT" 0.175478826309126
"1157" 1157 "SLT" 0.0218132366334134
"1159" 1159 "SLT" 0.236581174623327
"1160" 1160 "SLT" 4.13725585326762e-10
"1163" 1163 "SLT" 0.0969871345612791
"1164" 1164 "SLT" 0.101303992505546
"1166" 1166 "SLT" 0.000530325789906722
"1169" 1169 "SLT" 0.000274135380250505
"1171" 1171 "SLT" 3.26035250062193e-05
"1172" 1172 "SLT" 0.0266317684478125
"1173" 1173 "SLT" 0.00216486124276904
"1174" 1174 "SLT" 0.00422150871207366
"1175" 1175 "SLT" 0.00055389081878762
"1176" 1176 "SLT" 0.156310434567497
"1178" 1178 "SLT" 0.244624435167767
"1179" 1179 "SLT" 0.0596942049809402
"1181" 1181 "SLT" 0.0468007530705888
"1182" 1182 "SLT" 0.142026110994042
"1185" 1185 "SLT" 0.295752279256343
"1190" 1190 "SLT" 0.00282482647675554
"1191" 1191 "SLT" 0.000489037918861015
"1192" 1192 "SLT" 0.000988064029229135
"1196" 1196 "SLT" 0.601784400051305
"1197" 1197 "SLT" 0.000575980730874694
"1198" 1198 "SLT" 0.00286733594038613
"1199" 1199 "SLT" 0.00246048754470606
"1201" 1201 "SLT" 0.15155417949717
"1202" 1202 "SLT" 0.226056107544723
"1203" 1203 "SLT" 0.000382621981094363
"1204" 1204 "SLT" 0.0721889773758145
"1205" 1205 "SLT" 0.114921415187212
"1206" 1206 "SLT" 0.0494325548788707
"1207" 1207 "SLT" 0.047331137138895
"1213" 1213 "SLT" 0.00414770552214234
"1215" 1215 "SLT" 5.05584236680771e-07
"1216" 1216 "SLT" 0.00233850178479116
"1218" 1218 "SLT" 0.017887029177632
"1219" 1219 "SLT" 0.238147231346833
"1220" 1220 "SLT" 0.0148414535989663
"1221" 1221 "SLT" 0.0735281470204846
"1222" 1222 "SLT" 0.260147191414768
"1223" 1223 "SLT" 0.000980106617201113
"1228" 1228 "SLT" 0.0517126690514563
"1229" 1229 "SLT" 0.0877986359376022
"1230" 1230 "SLT" 0.0556895262221751
"1232" 1232 "SLT" 0.144893354691719
"1233" 1233 "SLT" 0.00140108964535263
"1242" 1242 "SLT" 0.497893212416159
"1244" 1244 "SLT" 1.68926508301962e-05
"1250" 1250 "SLT" 0.207583432872547
"1251" 1251 "SLT" 0.0880139908688717
"1252" 1252 "SLT" 0.00183377625449418
"1255" 1255 "SLT" 0.0616471763062094
"1257" 1257 "SLT" 0.267618084865383
"1258" 1258 "SLT" 0.0115566804015208
"1260" 1260 "SLT" 0.0483927503127631
"1264" 1264 "SLT" 0.0597435689445998
"1266" 1266 "SLT" 0.14703087863792
"1268" 1268 "SLT" 0.125198905013596
"1276" 1276 "SLT" 3.1814590226657e-07
"1279" 1279 "SLT" 0.187447894905535
"1286" 1286 "SLT" 0.0309481399040585
"1289" 1289 "SLT" 0.0674280126055833
"1290" 1290 "SLT" 0.137097113191524
"1291" 1291 "SLT" 0.1104108228741
"1293" 1293 "SLT" 0.00114987418253819
"1296" 1296 "SLT" 0.114471493125153
"1299" 1299 "SLT" 0.172439984596207
"1301" 1301 "SLT" 0.0040097057841366
"1303" 1303 "SLT" 0.236986825191356
"1304" 1304 "SLT" 0.00242420713867394
"1305" 1305 "SLT" 0.00366314458122723
"1307" 1307 "SLT" 0.238082644570868
"1311" 1311 "SLT" 0.0445797667289222
"1312" 1312 "SLT" 0.071499837228177
"1314" 1314 "SLT" 0.00546012713274693
"1321" 1321 "SLT" 0.00203490284057638
"1323" 1323 "SLT" 0.0413848141377613
"1324" 1324 "SLT" 0.0842480306440086
"1330" 1330 "SLT" 0.336501999769893
"1331" 1331 "SLT" 0.133662596655076
"1332" 1332 "SLT" 0.118505417701412
"1339" 1339 "SLT" 0.046475782680396
"1340" 1340 "SLT" 0.636277429226609
"1341" 1341 "SLT" 0.00230944820920211
"1342" 1342 "SLT" 0.0115007603642616
"1345" 1345 "SLT" 0.219513018942355
"1350" 1350 "SLT" 0.014503704015069
"1352" 1352 "SLT" 1.95851779967023e-05
"1358" 1358 "SLT" 0.00661845487433596
"1360" 1360 "SLT" 0.00722873477350523
"1366" 1366 "SLT" 0.00860112481566791
"1369" 1369 "SLT" 0.412214770229022
"1370" 1370 "SLT" 2.38314206331746e-06
"1372" 1372 "SLT" 0.0120445645954812
"1376" 1376 "SLT" 0.0628299054640415
"1380" 1380 "SLT" 0.000835447510344449
"1384" 1384 "SLT" 1.94665365880447e-06
"1387" 1387 "SLT" 0.00534113265441314
"1388" 1388 "SLT" 0.0376872419039034
"1389" 1389 "SLT" 0.143568327364789
"1390" 1390 "SLT" 0.0188661720640814
"1394" 1394 "SLT" 0.125568916530255
"1398" 1398 "SLT" 0.0040408060455606
"1399" 1399 "SLT" 0.00140040714688539
"1401" 1401 "SLT" 0.238209775101341
"1404" 1404 "SLT" 0.0106270006942987
"1405" 1405 "SLT" 0.0329349363913409
"1408" 1408 "SLT" 0.0033239230847828
"1409" 1409 "SLT" 0.018038964852217
"1412" 1412 "SLT" 0.0097556998284495
"1414" 1414 "SLT" 0.0201290180090948
"1420" 1420 "SLT" 0.0117153634057837
"1421" 1421 "SLT" 0.218768443396056
"1422" 1422 "SLT" 0.0608763153616062
"1427" 1427 "SLT" 1.07524692973486
"1428" 1428 "SLT" 0.00201916028675873
"1432" 1432 "SLT" 3.22969469730883e-05
"1433" 1433 "SLT" 0.00145415055434132
"1434" 1434 "SLT" 3.00338315922134e-05
"1436" 1436 "SLT" 0.0268149834921211
"1437" 1437 "SLT" 0.00405857457776733
"1438" 1438 "SLT" 0.00160994107288232
"1440" 1440 "SLT" 0.00551965999009907
"1441" 1441 "SLT" 0.00231172588898125
"1448" 1448 "SLT" 0.000902920816186206
"1450" 1450 "SLT" 0.0935521441094861
"1451" 1451 "SLT" 0.10516893218383
"1452" 1452 "SLT" 0.00592533830329043
"1454" 1454 "SLT" 0.00334580032695727
"1457" 1457 "SLT" 0.124444926982313
"1458" 1458 "SLT" 0.714123105624233
"1459" 1459 "SLT" 0.000934413388141343
"1461" 1461 "SLT" 0.426556965491713
"1467" 1467 "SLT" 0.000165691290345345
"1472" 1472 "SLT" 0.0265717107531591
"1477" 1477 "SLT" 0.0359827464089298
"1478" 1478 "SLT" 0.0731555065450742
"1480" 1480 "SLT" 9.82545145293442e-07
"1483" 1483 "SLT" 0.563932314242066
"1486" 1486 "SLT" 0.0288652046955943
"1487" 1487 "SLT" 0.0674773492462817
"1490" 1490 "SLT" 0.702652217622454
"1491" 1491 "SLT" 0.00170499002467466
"1492" 1492 "SLT" 0.0583073313790291
"1494" 1494 "SLT" 0.160909432475977
"1497" 1497 "SLT" 0.385339196209254
"1499" 1499 "SLT" 3.76532709726514e-05
"1503" 1503 "SLT" 0.00615481946972797
"1504" 1504 "SLT" 0.144217933897432
"1505" 1505 "SLT" 0.067501705286325
"1509" 1509 "SLT" 0.539204963433806
"1510" 1510 "SLT" 0.00763175525429834
"1512" 1512 "SLT" 0.000187366502238469
"1516" 1516 "SLT" 0.000226737975544104
"1520" 1520 "SLT" 0.274749738576801
"1521" 1521 "SLT" 0.000106007804639008
"1522" 1522 "SLT" 0.184512564143694
"1527" 1527 "SLT" 0.00012045429389068
"1529" 1529 "SLT" 0.0285434839658467
"1530" 1530 "SLT" 0.602768757502871
"1535" 1535 "SLT" 0.0226840984901148
"1536" 1536 "SLT" 0.00460240466991906
"1539" 1539 "SLT" 0.0728524756402325
"1540" 1540 "SLT" 0.0686854941967894
"1543" 1543 "SLT" 0.28203553667067
"1546" 1546 "SLT" 0.0923131261538869
"1549" 1549 "SLT" 0.0215530710092221
"1550" 1550 "SLT" 0.798372614834315
"1551" 1551 "SLT" 0.0787909688582269
"1553" 1553 "SLT" 3.31295904854034e-05
"1558" 1558 "SLT" 0.0503864945890187
"1561" 1561 "SLT" 0.0346576484896229
"1562" 1562 "SLT" 0.0253798096569438
